1s,2s,3s,4s,5s,6s,7s,8s,9s,10s,appliance
66.47854,62.03941,59.63182,47.65711,48.5223,57.83837,61.28414,61.71691,52.65084,50.40033,Laptop Charger
8.06695,9.14458,7.59167,7.46767,7.51908,9.88072,8.24055,9.13673,5.69462,8.8917,Desk Lamp
1.21676,0.71151,1.09924,1.67117,0.45234,0.82978,0.00334,0.09432,1.57854,1.22241,Phone Charger
17.08728,22.99702,24.61477,21.96596,17.95561,20.26727,22.77942,23.55311,21.17315,19.35211,Monitor
53.40018,53.6613,53.41956,48.10583,50.57229,50.02618,50.91099,49.80071,53.31291,49.75705,Electric Fan
49.73394,58.37434,66.29578,59.30321,54.27124,45.37134,43.70454,44.2719,44.95009,48.2858,Laptop Charger
8.748,9.24249,10.84944,9.15243,4.28244,8.23232,8.4533,6.01028,8.78403,6.89219,Desk Lamp
1.26259,2.21128,1.03166,2.10801,0.29536,1.50513,1.15099,1.10332,0.80964,0.20248,Phone Charger
16.68113,18.26343,19.91873,23.92335,24.89761,23.56446,23.69129,24.85828,19.71484,22.72131,Monitor
50.86308,50.82649,53.09786,51.5866,49.71337,48.41403,51.38806,52.25494,49.57697,49.37825,Electric Fan
48.33713,57.31531,66.1752,66.94832,48.71997,48.02456,52.06781,75.92713,56.0077,40.10255,Laptop Charger
8.17461,10.11031,6.44784,8.01289,8.85986,5.65652,8.71192,7.73174,5.52726,6.29713,Desk Lamp
0.53808,2.4094,1.16088,0.08707,0.41211,0.12536,0.10156,0.03327,0.88075,0.40507,Phone Charger
19.16779,15.58207,23.79061,24.22072,19.83734,22.30931,23.53722,14.61376,19.16258,21.67424,Monitor
49.77889,52.32767,51.17634,49.86613,53.30321,51.73726,53.71315,52.32767,49.22424,49.90459,Electric Fan
64.46738,51.0545,54.10312,69.17953,61.79245,60.553,51.18513,59.7961,78.05223,64.36197,Laptop Charger
11.68254,8.125,7.16045,9.02645,8.48175,7.35146,9.75162,5.91668,9.744,9.23858,Desk Lamp
0.68327,0.52067,0.85709,0.2918,0.53285,0.59463,0.38762,0.62818,0.79605,0.33087,Phone Charger
15.75618,20.77788,3.21837,2.25959,3.81145,2.51029,1.52113,1.25605,0.78924,2.8373,Monitor
50.11052,50.37809,50.1501,52.49007,49.00744,52.74637,49.90586,50.74567,52.80386,52.33629,Electric Fan
50.33294,47.32883,47.51855,58.46756,59.21943,65.31971,36.76667,56.81808,56.9869,39.55064,Laptop Charger
7.39028,11.3425,5.47913,9.07379,7.09924,10.36698,7.09924,9.39814,5.79894,6.39776,Desk Lamp
0.29695,1.50513,0.80624,0.51362,0.74684,0.73467,2.83441,0.61782,0.77563,1.10473,Phone Charger
1.8492,2.88911,1.9546,2.46291,0.88412,1.25605,3.78453,0.62473,1.29292,0.05162,Monitor
52.37447,52.19695,51.03313,49.45576,52.00035,49.12308,51.9508,53.82996,51.21524,49.62976,Electric Fan
53.2844,78.48274,53.96098,45.48411,51.1594,75.36263,61.49897,46.38911,39.67493,52.53123,Laptop Charger
7.9001,5.77055,10.72985,7.78241,6.15432,6.58822,7.56608,8.26522,6.00561,7.1255,Desk Lamp
0.95754,1.17734,0.97153,0.27065,1.37237,1.40547,0.35353,0.28943,0.13411,0.41041,Phone Charger
3.16217,2.36165,0.03694,1.41838,0.70043,1.79304,0.14493,0.76881,1.00497,1.23643,Monitor
50.87443,52.01768,51.85901,50.15137,49.45446,49.78916,51.04695,52.14384,51.37556,50.00828,Electric Fan
53.28865,59.79224,50.21195,62.81226,57.89611,48.51575,77.16323,63.85349,52.79897,43.29831,Laptop Charger
7.68941,7.20404,7.64272,5.32898,9.37487,18.96397,9.49095,11.55345,6.26959,6.32463,Desk Lamp
1.78366,0.37686,1.50193,1.61032,1.16884,1.14012,1.10741,1.92679,0.95142,0.89745,Phone Charger
0.4638,0.59707,2.39748,0.08707,1.99159,13.80449,0.10156,0.40281,0.25259,0.05802,Monitor
49.32394,51.1412,51.41182,51.70491,50.09775,52.44337,52.04863,50.63436,51.32926,51.19894,Electric Fan
42.49988,49.85587,59.34866,56.28298,41.17375,37.77797,47.54789,50.69194,59.0332,56.03679,Laptop Charger
6.75428,8.95523,7.82032,7.18662,10.28919,6.67369,8.22409,7.69364,5.81311,5.91668,Desk Lamp
0.09794,0.14017,1.46023,0.09211,0.52415,0.27756,1.33884,0.90144,0.874,0.48227,Phone Charger
1.02499,0.99161,0.85709,2.5162,1.26912,2.83153,0.44374,2.05912,2.31372,0.91109,Monitor
50.73682,50.55709,49.14644,50.39716,50.65208,50.28521,51.82301,53.00773,50.18836,50.19092,Electric Fan
54.45562,53.02052,60.36317,49.66,44.14884,43.11605,48.52952,53.93756,63.95547,61.10002,Laptop Charger
7.29524,6.5792,7.2779,9.39426,7.86655,7.50196,6.60625,5.86968,8.49799,6.38407,Desk Lamp
0.05802,0.14493,0.31313,1.18063,0.30448,1.12375,0.27043,0.55894,0.70386,1.51153,Phone Charger
1.63569,0.10318,3.74136,0.6867,1.01165,0.93799,1.24951,1.22987,1.11796,1.43127,Monitor
50.22916,53.89852,48.93456,50.33103,50.09009,49.88024,54.24615,50.7444,51.7186,47.1217,Electric Fan
52.21114,46.88483,62.13274,54.93173,49.88216,54.60678,75.5266,60.3282,48.4508,45.15,Laptop Charger
14.13576,6.10335,6.33379,8.94333,10.01652,8.29396,8.41257,10.13649,7.55327,7.65122,Desk Lamp
1.64202,0.30448,0.99782,1.39255,0.82978,1.91441,0.89424,1.70832,1.53391,0.93799,Phone Charger
4.82967,1.39255,1.26912,1.22332,0.55597,1.01832,1.20364,0.59707,2.6748,0.03694,Monitor
50.46067,48.53345,49.83792,49.68251,51.18388,51.49678,50.44924,51.04947,51.62648,49.31747,Electric Fan
56.19193,57.35068,48.94954,47.8325,67.93721,62.18654,48.45998,51.35304,83.85186,69.38964,Laptop Charger
9.14851,7.75287,11.5009,7.58314,7.04661,9.55259,8.3554,7.71905,8.98692,8.96315,Desk Lamp
0.2918,0.47527,1.44415,1.59444,1.37315,1.60715,1.55625,1.12458,0.16985,0.31954,Phone Charger
0.66608,2.01004,0.63163,0.80964,0.70043,0.19962,1.75546,0.97153,1.01832,2.01619,Monitor
50.60017,51.85777,48.47049,50.89461,53.70109,51.26162,49.54991,48.26408,50.79619,50.84416,Electric Fan
65.72606,52.85276,62.9531,66.03522,62.83654,61.78657,63.85922,49.53509,46.25564,61.61286,Laptop Charger
8.52233,6.89219,9.26201,8.89568,8.02538,6.57468,8.91555,14.19211,13.71858,7.9712,Desk Lamp
1.04165,0.98826,0.94806,0.38039,1.06493,0.78924,1.71462,0.07369,0.15935,0.40859,Phone Charger
1.25605,1.24297,1.48911,0.82322,0.222,0.62473,0.37245,8.4655,9.88828,0.72099,Monitor
51.34303,49.75835,50.4759,51.35179,52.05976,49.76476,49.39764,51.73104,52.84909,52.07709,Electric Fan
74.22417,77.15175,60.56008,57.17076,42.20855,57.43505,46.43671,57.71025,47.03568,59.82472,Laptop Charger
8.10014,6.95854,7.6682,6.98501,7.74442,6.26959,7.65971,9.04224,7.75287,6.56566,Desk Lamp
0.68411,1.28876,0.28112,0.17015,1.11466,0.56935,0.34504,0.62178,0.41041,1.41515,Phone Charger
0.54156,0.90435,0.23115,1.02499,0.58689,0.05802,0.66459,3.05474,2.21733,0.70729,Monitor
49.60015,52.62633,50.79494,49.75192,50.43146,48.56621,50.23171,51.23906,48.17182,50.16157,Electric Fan
51.07839,47.94715,46.42514,43.35868,43.53583,49.95901,47.28063,52.88512,56.316,66.40155,Laptop Charger
10.25205,7.24318,6.38407,9.17988,12.06882,7.41181,5.92137,7.06417,8.91555,7.37735,Desk Lamp
0.08843,1.768,0.11057,0.35566,0.38745,0.75078,0.51746,1.19707,0.82978,1.45701,Phone Charger
0.07256,3.23519,1.05163,1.30824,1.78679,2.11411,0.89761,1.10332,0.74834,1.50193,Monitor
49.63491,51.21649,48.94888,49.85844,50.33485,51.82425,54.40734,51.44557,50.65208,51.27541,Electric Fan
87.12113,68.78451,52.18399,45.88218,56.15593,57.06428,67.35612,65.75754,63.41017,49.66708,Laptop Charger
8.12914,10.02404,9.29321,7.55754,8.71593,5.77055,7.28657,9.49481,9.56797,8.01289,Desk Lamp
